satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I06,2025-03-23 15:36:00,-0.00018239766359330002,-1.364242052659e-12,0.0,223.0,-203.375,3.871589838686e-09,2.595743308499,-6.6943466663359994e-06,0.001950390986167,6.161630153655999e-06,6493.396572113,56160.0,2.607703208923e-08,-1.253938306444,-3.352761268616e-07,0.07389341267724,-184.875,-2.963866798663,-2.820117469212e-09,6.39312344211e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,56412.00000000001
I06,2025-03-23 15:50:24,-0.0001823990605772,-1.364242052659e-12,0.0,224.00000000000003,-211.3125,3.957307694893e-09,2.65846768689,-6.921589374542e-06,0.001949479221366,5.893409252167e-06,6493.399110794,57024.0,4.4703483581540004e-08,-1.253940189219,-2.9057264327999997e-07,0.07389386033017,-176.0625,-2.963584661745,-2.924407527598e-09,6.314548740587e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,57324.0
I06,2025-03-23 16:05:36,-0.000182400457561,-1.364242052659e-12,0.0,225.0,-217.4375,4.0587404914040004e-09,2.724742356799,-7.089227437973e-06,0.0019485894590620001,5.6214630603789995e-06,6493.401500702001,57936.0,4.4703483581540004e-08,-1.253942524036,-2.458691596985e-07,0.07389434894481,-166.8125,-2.963352182119,-3.044412526287e-09,6.250260348431e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,58188.00000000001
I06,2025-03-23 16:20:48,-0.00018240138888360002,-1.364242052659e-12,0.0,225.99999999999997,-221.25,4.148744240422e-09,2.791086589925,-7.193535566329999e-06,0.001947823562659,5.3793191909790005e-06,6493.403486252,58848.0,3.3527612686160006e-08,-1.253945008071,-2.160668373108e-07,0.07389481854151,-158.5,-2.96318918086,-3.1515598465460004e-09,6.207401420328e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,59100.0
I06,2025-03-23 16:36:00,-0.0001824027858675,-1.2505552149379999e-12,0.0,227.0,-223.12500000000003,4.2073181088300005e-09,2.857494797922,-7.245689630507999e-06,0.001947233919054,5.193054676056e-06,6493.404966354,59760.0,2.607703208923e-08,-1.253947800782,-1.974403858185e-07,0.0738953349516,-151.8125,-2.963089899925,-3.2215627624490002e-09,6.182400378934e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,60012.0
I06,2025-03-23 16:50:24,-0.0001824032515287,-1.136868377216e-12,0.0,227.99999999999997,-223.625,4.214461263514e-09,2.920456224633,-7.253140211105e-06,0.001946867443621,5.077570676804e-06,6493.405866623,60624.0,2.2351741790770002e-08,-1.253950605196,-1.899898052216e-07,0.07389585575043,-147.625,-2.963044107663,-3.237277702753e-09,6.17525722425e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,60923.99999999999
I06,2025-03-23 17:05:36,-0.00018240418285130002,-1.0231815394949999e-12,0.0,229.0,-223.4375,4.165887811663e-09,2.986960534644,-7.245689630507999e-06,0.0019467852544040002,5.058944225311e-06,6493.406080246,61536.0,2.9802322387700004e-08,-1.253953763636,-1.899898052216e-07,0.07389645847267999,-146.9375,-2.963040611289,-3.190132881839e-09,6.178828801592001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,61788.0
I06,2025-03-23 17:20:48,-0.00018240557983520002,-1.2505552149379999e-12,0.0,229.99999999999997,-223.5,4.040168289226001e-09,3.05347445749,-7.245689630507999e-06,0.001946879201569,5.096197128295999e-06,6493.405855178999,62448.0,5.2154064178470006e-08,-1.25395650807,-1.825392246246e-07,0.07389711678581999,-148.0,-2.963047154922,-3.0644133594020004e-09,6.168114069566e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,62699.99999999999
I06,2025-03-23 17:36:00,-0.0001824060454965,-1.0231815394949999e-12,0.0,231.0,-224.5625,3.850160374634001e-09,3.119987618156,-7.279217243195e-06,0.0019472222775220001,5.20795583725e-06,6493.405031204001,63360.0,8.568167686462001e-08,-1.253958866294,-1.639127731323e-07,0.07389783946735,-151.5625,-2.963053313807,-2.868690921063e-09,6.146684605515001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,63612.0
I06,2025-03-23 17:50:24,-0.0001824065111578,-9.094947017729001e-13,0.0,231.99999999999997,-227.12500000000003,3.6215794247480003e-09,-3.100203396395,-7.3537230491640005e-06,0.001947761047632,5.371868610382e-06,6493.403743744,64224.0,1.229345798492e-07,-1.253960602778,-1.341104507446e-07,0.07389855776012,-156.875,-2.963041448078,-2.63010955462e-09,6.100254100069e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,64524.0
